,artist_name,track_name,track_id,popularity,release_date_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
14,Linda Ronstadt,When Will I Be Loved,5jPPjNMIi1rD6BvQqxhJh5,0.62,1974,0.513,0.573,9,-10.023,1,0.0337,0.186,0.000958,0.0878,0.621,132.607,124867,4
15,Lynyrd Skynyrd,Call Me The Breeze,12WiGqEs3t5hrzBJTe1K0P,0.61,1974,0.271,0.642,2,-10.475,1,0.0384,0.00434,0.0781,0.118,0.819,186.366,309773,4
16,Steely Dan,Rikki Don't Lose That Number,18a9EGG4xhRELv7bgAw5hb,0.62,1974,0.656,0.462,11,-14.072,0,0.0373,0.518,0.000137,0.091,0.642,116.049,271093,4
17,Bonnie Raitt,Angel from Montgomery - 2008 Remaster,6JssQFiBCi6ZcE6060S9A7,0.61,1974,0.68,0.393,9,-8.431,1,0.0306,0.538,4.19e-06,0.12,0.551,125.036,239240,4
18,Barry White,"Can't Get Enough Of Your Love, Babe",3mWpUEBYnv9SIFWfixSJFx,0.68,1974,0.729,0.78,5,-7.604,1,0.0631,0.114,0.106,0.0759,0.795,111.833,274000,4
19,Rush,Working Man,1gkn90ExKRNAOlhDs4RoW0,0.59,1974,0.202,0.835,9,-11.04,1,0.0599,0.00383,0.0388,0.126,0.661,156.883,429973,4
20,Eagles,Already Gone - 2013 Remaster,0CKxrnF9KplS21LTjkkqsW,0.59,1974,0.465,0.812,7,-6.398,1,0.0467,0.00591,0.000494,0.408,0.811,146.2,255346,4
21,The Hollies,The Air That I Breathe - 2008 Remaster,6yLIqXX9edg1x0HZS7cZEv,0.65,1974,0.279,0.473,4,-8.375,0,0.0309,0.242,0.00164,0.158,0.246,167.792,257107,4
22,Sweet,Fox On The Run,4uip0lLkMKl1nwchsdXs1r,0.58,1974,0.511,0.644,4,-12.191,1,0.0352,0.173,6.17e-05,0.0928,0.828,128.067,207667,4
23,Linda Ronstadt,You're No Good,23DZLSxCK6kM8FF2RlzKDl,0.6,1974,0.669,0.52,8,-10.136,1,0.0345,0.245,0.00535,0.126,0.634,104.812,224027,4
24,Ace,How Long,4AjKVyNUMdUveKK5OH1OJD,0.61,1974,0.717,0.406,0,-13.954,0,0.0305,0.587,0.103,0.0869,0.703,123.213,204227,4
25,Billy Preston,Nothing From Nothing,72PoJMDfdaw9gGECgA9kTZ,0.63,1974,0.808,0.83,9,-3.995,0,0.0283,0.613,0.0112,0.198,0.909,102.8,156200,4
26,Barry Manilow,Mandy,6iXQrhhgBisdfvS34EMTZ3,0.67,1974,0.308,0.464,10,-9.032,1,0.0279,0.418,2.49e-06,0.143,0.318,103.734,213333,4
27,Jimmy Buffett,Come Monday,0yje3JVMgJNZENayymCTHA,0.57,1974,0.617,0.301,9,-15.393,1,0.0292,0.776,0.0,0.0914,0.664,111.527,191733,4
28,Grateful Dead,Scarlet Begonias - 2013 Remaster,3euDGpS2R0NC2Xssqxohva,0.56,1974,0.537,0.559,4,-12.224,1,0.0315,0.314,0.000795,0.116,0.918,167.758,259702,4
29,Joe Cocker,You Are So Beautiful,1gJOqXpRjz9GeEEwQpcujK,0.65,1974,0.297,0.182,1,-10.944,1,0.0298,0.846,0.00267,0.134,0.092,83.391,159640,3
30,Eagles,The Best of My Love - 2013 Remaster,5MLLuLqPdUlx8bfKtdkLwO,0.6,1974,0.559,0.393,0,-11.095,1,0.0237,0.717,0.0,0.0532,0.669,90.105,274891,4
31,Robert Palmer,Sneakin' Sally Through The Alley,5HWQcpb5SL8IxSZjy8LVpY,0.58,1974,0.64,0.679,4,-12.356,1,0.0302,0.424,0.00294,0.0878,0.965,99.296,265893,4
32,Kool & The Gang,Summer Madness,2uMqG8w8oi09fB2YA2QLOm,0.58,1974,0.298,0.327,6,-16.515,0,0.031,0.00834,0.86,0.0724,0.454,175.898,257867,4
33,Bad Company,Can't Get Enough - 2015 Remaster,6n5lHdpuBDdA7pYDpiKzEI,0.59,1974,0.638,0.686,0,-9.876,1,0.0366,0.314,0.23,0.0678,0.766,126.045,256360,4
34,Eric Clapton,I Shot The Sheriff,0UOxp1BpnD8uPQMKU4wKjz,0.63,1974,0.73,0.639,7,-11.025,0,0.0524,0.0853,0.00221,0.102,0.658,94.395,263747,4
35,Average White Band,Pick Up the Pieces,2x1LQq8lsUzAA2wNj8yjC9,0.55,1974,0.768,0.853,10,-5.915,0,0.0427,0.0548,0.13,0.0188,0.889,107.234,239908,4
36,Al Green,Take Me to the River,62r1CS9zL1FL5Ilb7hLX7n,0.62,1974,0.786,0.418,9,-11.115,1,0.0432,0.218,0.000158,0.134,0.94,119.101,225373,4
37,The Ozark Mountain Daredevils,Jackie Blue,1R9EHsvzpXwOvlGkgDmE55,0.56,1974,0.562,0.538,1,-9.937,1,0.0275,0.362,0.00315,0.0411,0.962,107.096,250120,4
38,Elton John,Don't Let The Sun Go Down On Me,11FcfHd3SOmmrWJPGe7Y30,0.61,1974,0.424,0.446,0,-8.526,1,0.0261,0.121,1.89e-06,0.0921,0.354,139.701,336733,4
39,KISS,Strutter,0UCg6lnG2MXpuEpf8Pk1MV,0.62,1974,0.511,0.912,1,-5.618,1,0.0594,0.0247,0.0553,0.0943,0.833,131.339,190867,4
40,Jimmy Buffett,A Pirate Looks At Forty,6ac6RlvEhiFraIxBYHhg1j,0.54,1974,0.565,0.225,7,-17.384,1,0.0342,0.79,4.06e-05,0.113,0.415,118.937,235360,4
41,Dolly Parton,I Will Always Love You,6nRvgo4ySezQKD1D7NIqAu,0.6,1974,0.446,0.142,9,-13.498,1,0.0335,0.96,0.00114,0.101,0.156,135.724,176093,4
42,The J. Geils Band,Must of Got Lost,252pAlbltOjOcUux4dRtjp,0.54,1974,0.53,0.516,0,-12.378,1,0.0793,0.41,0.00182,0.0532,0.738,103.922,178240,4
43,Lynyrd Skynyrd,The Needle And The Spoon,2OOcagX0sr4SQuBbHJkE5I,0.55,1974,0.53,0.614,7,-11.556,1,0.0408,0.283,0.0281,0.53,0.638,115.329,233600,4
44,Johnny Pacheco,Quimbara,6ydEhrdfzhI29D2NBAqUY1,0.62,1974,0.6,0.633,4,-7.507,0,0.0667,0.741,0.0736,0.0478,0.966,120.627,291947,4
45,America,Tin Man,4uTTd2SlalZoG0zVgI63kH,0.57,1974,0.646,0.531,7,-10.785,1,0.0671,0.528,0.0133,0.0836,0.655,172.02,209867,4
46,Ann Peebles,I Can't Stand the Rain,0CcL4kSHKIEwF3IW0BGgb6,0.6,1974,0.727,0.387,1,-12.333,1,0.0412,0.248,0.0102,0.0625,0.966,160.395,150400,4
47,怒吼,Drowning,5VwbMTdcbhTA0OkrwJVDV6,0.6,1974,0.599,0.552,1,-8.492,1,0.0601,0.0263,0.775,0.107,0.104,172.767,127783,4
48,Steely Dan,Any Major Dude Will Tell You,7BVIm4yj3PQ6MwTPwcjka6,0.56,1974,0.684,0.416,2,-15.367,1,0.0447,0.647,0.0,0.0822,0.549,80.204,187267,4
49,Bob Dylan,Hurricane,1lqMLr9Wj7SM2F9AikGcxN,0.67,1976,0.509,0.827,0,-7.715,1,0.0782,0.0409,0.0,0.12,0.743,135.601,512733,4
50,David Bowie,Golden Years - 2016 Remaster,4JRem7xHp2l0kmUvt9zCKu,0.61,1976,0.68,0.701,6,-10.36,0,0.036,0.316,4.72e-06,0.111,0.933,108.287,243280,4
51,Wings,Silly Love Songs - Remastered 2014,3uiMBldZ07pW0ySHDX5gzE,0.61,1976,0.742,0.471,0,-10.767,1,0.0326,0.134,0.0903,0.284,0.815,124.95,354240,4
52,Bob Seger,Mainstreet,0XVR94voJPToKX1XoOw0ot,0.58,1976,0.505,0.747,8,-5.422,1,0.0308,0.064,0.00647,0.244,0.529,139.865,223090,4
53,Al Stewart,Year of the Cat,7MTX3vevnm41xuEoPxWT3j,0.56,1976,0.54,0.634,4,-9.165,0,0.0346,0.016,0.0098,0.118,0.546,116.461,400067,4
54,Boston,Rock & Roll Band,5E89Izp4YhPyNShoxiOJ1u,0.56,1976,0.487,0.838,4,-6.153,1,0.0431,0.00351,2.92e-05,0.377,0.655,136.741,180347,4
55,Thin Lizzy,Jailbreak,4qbiCq2xkNPyojuZFeNeqx,0.59,1976,0.616,0.761,3,-9.199,1,0.126,0.196,0.0025,0.374,0.708,145.074,240600,4
56,The Doobie Brothers,Takin' It to the Streets,1WDgdCoNSN0fosaTaLGXKU,0.56,1976,0.637,0.697,0,-8.903,1,0.0297,0.171,0.0,0.108,0.938,147.103,231600,4
57,ABBA,Fernando,4BM8yJ0PzBi2ZewpMTOxtx,0.65,1976,0.354,0.535,9,-8.876,1,0.0303,0.627,2.9e-06,0.0808,0.434,110.821,252960,4
58,Peter Frampton,"Baby, I Love Your Way - Live",1ksayCHVLH4eKFm43GFokU,0.61,1976,0.518,0.786,7,-5.739,1,0.0357,0.448,2.5e-05,0.7,0.463,72.269,281067,4
59,Pyotr Ilyich Tchaikovsky,"Tchaikovsky: Swan Lake, Op. 20, Act II: No. 10, Scene. Moderato",2xizRhme7pYeITbH1NLLGt,0.64,1976,0.136,0.164,4,-18.756,0,0.0364,0.911,0.916,0.109,0.071,58.303,166867,4
60,Stevie Wonder,As,13toFl1UwJPsRxDiD9jgtn,0.6,1976,0.467,0.869,8,-10.342,0,0.0559,0.0589,0.0,0.244,0.684,102.376,428222,4
61,Electric Light Orchestra,Do Ya,0NN32Knbyo4gM1DKY9rdzg,0.56,1976,0.494,0.572,2,-5.862,1,0.0332,0.0386,0.000566,0.602,0.716,124.042,225107,4
62,Aerosmith,Back In the Saddle,0ZGLuduCPjgWY1n85ykgMe,0.57,1976,0.426,0.903,1,-9.661,1,0.0389,0.00578,0.00945,0.0945,0.762,122.201,280360,4
63,Lou Rawls,You'll Never Find Another Love Like Mine,6OylYIXrIH2E3hgg7Dqz5M,0.62,1976,0.691,0.718,2,-8.457,1,0.0317,0.148,4.81e-05,0.108,0.934,110.623,266200,4
64,Johnny Cash,One Piece at a Time,1sueD22EyCamMjdQu9Kuo3,0.57,1976,0.721,0.539,10,-14.064,1,0.351,0.685,0.0,0.282,0.963,102.648,241813,4
65,Firefall,You Are the Woman,4iiLzvbh0bXMnomiB6DIuk,0.55,1976,0.753,0.469,2,-11.64,1,0.0339,0.535,0.0,0.29,0.838,120.918,164440,4
66,L.T.D.,Love Ballad,3iCbTmcXnKlRZCdaYOukxq,0.53,1976,0.602,0.385,6,-14.81,0,0.0385,0.449,0.000111,0.0803,0.354,77.697,275227,4
67,Leo Sayer,When I Need You - Remastered,2TcwEYyydQuEMJwdmSgVLD,0.55,1976,0.597,0.342,8,-8.167,1,0.0299,0.389,3.04e-05,0.114,0.11,109.609,253227,3
68,Manfred Mann's Earth Band,Blinded By The Light - Single edit,3jOBL79jV8RAEBQMSBzBvV,0.54,1976,0.593,0.56,5,-11.749,1,0.0653,0.572,0.00369,0.0719,0.577,140.511,228987,4
69,Rose Royce,Car Wash - Long Version,2pbWkjtGtjkzBdZ95GFINm,0.57,1976,0.667,0.521,9,-13.212,0,0.115,0.202,6.55e-05,0.0723,0.856,117.917,307573,4
70,KISS,Beth,1cPXOzyeZauSAsT1yy7aBp,0.59,1976,0.387,0.238,0,-13.496,1,0.0339,0.878,0.000715,0.194,0.279,115.354,165667,4
71,Boney M.,Sunny,3pf96IFggfQuT6Gafqx2rt,0.68,1976,0.647,0.868,0,-6.427,0,0.106,0.088,0.124,0.129,0.804,121.82,242240,4
72,Lynyrd Skynyrd,Gimme Back My Bullets,02UFwtmJ0ogLQWMx43Okuh,0.54,1976,0.428,0.682,1,-10.862,1,0.0441,0.313,1.34e-05,0.116,0.961,168.58,209800,4
73,David Allan Coe,Longhaired Redneck,2hu8MGKHetKqjLmqadNQD7,0.53,1976,0.408,0.59,7,-7.853,1,0.0307,0.178,0.0,0.303,0.568,92.453,200867,4
74,Candi Staton,Young Hearts Run Free,3MFa9idQuY4iJLWsZl3tIQ,0.66,1976,0.653,0.652,7,-9.304,0,0.0427,0.13,1.58e-05,0.202,0.846,115.388,248360,4
75,Stephen Bishop,Save It For A Rainy Day,5AHjRKFCVUaRClF2Oxx8Ld,0.55,1976,0.625,0.536,8,-8.962,1,0.0354,0.572,8.03e-05,0.119,0.729,129.178,192973,4
76,AC/DC,Big Balls,2KmSnPWWCIsEomVsKnbE1a,0.57,1976,0.62,0.634,9,-6.324,1,0.198,0.432,0.0,0.604,0.415,107.066,158773,4
77,Climax Blues Band,Couldn't Get It Right,7GSCnEFxiD6Im98CbfySDw,0.56,1976,0.727,0.641,2,-11.074,1,0.0392,0.0234,0.0136,0.109,0.652,102.589,198947,4
78,Billy Ocean,Love Really Hurts Without You,4GhtDORJiSRYxj6M1bv0vX,0.68,1976,0.518,0.907,5,-3.732,1,0.0343,0.00221,1.15e-05,0.0838,0.961,140.982,179013,4
79,Raffi,Mr. Sun,68oEtRynOZG9E3yeTBWu3k,0.53,1976,0.669,0.386,2,-14.641,1,0.0524,0.398,0.000257,0.267,0.604,87.704,76693,4
80,Creedence Clearwater Revival,Have You Ever Seen The Rain,5XE8c07vbpQBUriwybOHtd,0.63,1976,0.773,0.543,0,-9.97,1,0.0292,0.093,5.63e-06,0.175,0.802,115.997,160000,4
81,The Doobie Brothers,Listen to the Music,2fja4gHzPsIXiK4bMeU0hN,0.57,1976,0.643,0.526,1,-15.147,0,0.0349,0.214,4.21e-06,0.069,0.881,105.922,227173,4
82,Rose Royce,I Wanna Get Next To You,1rff5WJrSljfCLYFoXkDiT,0.52,1976,0.62,0.179,0,-19.981,1,0.0314,0.835,0.03,0.0928,0.675,130.864,238200,4
83,Creedence Clearwater Revival,Susie Q,6z2AyfE9GZxoHqJVSA4NgN,0.58,1976,0.65,0.556,9,-13.587,0,0.0378,0.112,0.000637,0.109,0.95,128.241,274160,4
84,Raffi,Brush Your Teeth,1NtMwloRp8OIVwWGipngkw,0.52,1976,0.832,0.216,4,-24.799,1,0.934,0.511,5.39e-05,0.107,0.49,81.91,72173,4
85,Bob Seger,Turn The Page - Live In Detroit/1975,6rjMQscV8vUrjKXAsU9hNi,0.53,1976,0.535,0.376,9,-10.004,1,0.0331,0.155,0.0,0.592,0.285,78.827,301187,4
86,James Taylor,Something in the Way She Moves,69foTA1ElY03DJQb7bbA0e,0.54,1976,0.447,0.186,0,-17.369,1,0.0322,0.283,0.0,0.158,0.564,150.799,189480,4
87,Bob Marley & The Wailers,"Roots, Rock, Reggae",1ATZfYmZOcm24vl5oQtPdC,0.6,1976,0.855,0.473,11,-9.846,0,0.146,0.0719,2.71e-05,0.0795,0.682,139.175,218400,4
88,Waylon Jennings,Can't You See,3vGB7pK6KJaspU73i1M30n,0.52,1976,0.637,0.528,4,-11.723,1,0.0319,0.112,0.00387,0.0679,0.505,90.821,225698,4
89,Ramon Ayala Y Sus Bravos Del Norte,Chaparra De Mi Amor,6O520IZgFxvuPnBms0But5,0.51,1976,0.724,0.592,10,-5.468,1,0.0629,0.539,0.000682,0.072,0.815,111.826,189853,4
90,The Manhattans,Kiss and Say Goodbye,0rHiGIRASJq8snJGFJMpnI,0.59,1976,0.645,0.42,10,-10.09,1,0.0624,0.555,0.0,0.125,0.583,129.084,266733,4
91,Seals and Crofts,Get Closer,5Eq0mobXSnyWu1dpE6lSdY,0.53,1976,0.653,0.437,2,-12.641,1,0.028,0.434,6.74e-05,0.0689,0.63,96.469,238147,4
92,Patti LaBelle,If Only You Knew,2fH13RdhsEIc11X0o9enUX,0.5,1976,0.544,0.371,4,-10.991,1,0.0388,0.861,0.000463,0.069,0.145,132.972,286653,4
93,George Benson,Breezin',1m3BAsNsQAaSNMD2M6vlKY,0.57,1976,0.682,0.752,2,-9.521,1,0.0454,0.476,0.863,0.0768,0.964,81.081,341733,4
94,Bunny Wailer,Dream Land,7vp89zcbYncoBCbX5HA3tZ,0.61,1976,0.782,0.43,1,-14.285,1,0.363,0.175,0.000294,0.0603,0.89,72.339,166773,4
95,Boston,Hitch a Ride,0870QNicMawQH2cnzBVZ3P,0.53,1976,0.383,0.814,3,-7.23,1,0.0405,0.0011,0.00406,0.101,0.569,116.454,251733,4
96,Steely Dan,Kid Charlemagne,3sqNXrDvCy4nid6XbaA2Cg,0.52,1976,0.546,0.697,0,-9.667,1,0.0631,0.272,0.00558,0.649,0.755,96.752,278800,4
97,Ted Nugent,Free-For-All,7kleAV1lfwHi3XNsLaAKHR,0.52,1976,0.525,0.855,9,-6.537,1,0.0372,0.0452,0.000295,0.135,0.516,109.784,201760,4
98,ABBA,"Money, Money, Money",3lKN03PDeBnXZS7sDukRBt,0.62,1976,0.787,0.704,9,-6.873,0,0.0385,0.535,0.00305,0.089,0.646,120.701,186427,4
99,Leon Russell,Tight Rope,6f5bVwzW72D5M8lZzH8Csg,0.52,1972,0.736,0.3,4,-12.464,0,0.0759,0.795,1.96e-05,0.0701,0.732,153.691,181000,4
100,Vicente Fernández,La Misma,6Fh3sBmdvUDb3pO8MjZBaW,0.58,1972,0.424,0.425,9,-4.512,1,0.0301,0.709,0.0,0.0767,0.351,81.828,189960,4
101,Malo,Suavecito,5QoFWpXoaUyT44VmR98wLl,0.51,1972,0.562,0.561,11,-10.954,0,0.0343,0.412,1.98e-05,0.0917,0.666,113.911,395200,4
102,Elton John,I Think I'm Going To Kill Myself,4q7tMaar2kUMweKu6N5bZz,0.55,1972,0.627,0.539,0,-8.226,1,0.0274,0.526,3.61e-06,0.129,0.718,137.598,215173,4
103,Vicente Fernández,Las Llaves de Mi Alma,5M8JfFdmUtewLKcy0sZLtR,0.57,1972,0.518,0.322,2,-7.443,1,0.0283,0.401,4.45e-05,0.0747,0.59,81.397,176000,4
104,David Bowie,Five Years - 2012 Remaster,1JIzFhI9Lt5FyslawmHCBi,0.58,1972,0.46,0.326,7,-10.699,1,0.0417,0.142,1.01e-05,0.0449,0.321,152.531,283753,3
105,Lou Reed,Satellite of Love,5WyuRWUcOOhAic0tj9Pl28,0.59,1972,0.458,0.502,5,-10.186,1,0.0294,0.442,5.51e-06,0.299,0.571,121.861,221120,4
106,Al Green,I'm Still in Love with You,2GEDd9qtGXU7IvGgqTF6Uj,0.52,1972,0.712,0.393,0,-9.538,1,0.0287,0.158,0.000588,0.0908,0.791,97.918,191636,4
107,Waylon Jennings,Never Been to Spain,13OK3ZOupPmDYN0sPTYSae,0.51,1972,0.618,0.453,2,-11.287,1,0.0334,0.369,0.0113,0.0878,0.688,105.552,157240,4
108,Michael Jackson,Rockin' Robin,63gcHyuhAC8G2C0bVQUOJI,0.5,1972,0.622,0.721,10,-8.224,1,0.0983,0.24,7.88e-05,0.271,0.968,173.395,154840,4
109,"Emerson, Lake & Palmer",From the Beginning - 2015 - Remaster,0Ll60pqkEBHqzdeclRHdnl,0.56,1972,0.633,0.231,4,-16.118,0,0.0416,0.283,0.107,0.124,0.358,133.13,252707,4
110,The Rolling Stones,Sweet Virginia,1hJrWWK74fKL7eeV3CFOvF,0.56,1972,0.477,0.74,9,-5.397,1,0.0446,0.502,1.31e-06,0.263,0.56,107.384,266560,4
111,The Equatics,Merry Go Round,4X4NrHp5VpibgirzuImxXd,0.53,1972,0.512,0.458,0,-10.623,0,0.0286,0.00553,0.0,0.22,0.594,131.836,163946,4
112,Jim Croce,Tomorrow's Gonna Be a Brighter Day,3pnA5QZo2MprFEv25YEF9C,0.51,1972,0.495,0.63,4,-11.331,1,0.0502,0.527,0.0,0.223,0.814,169.112,170942,4
113,Nick Drake,From The Morning,6meH4I9A4WZtD3z8hnQKqr,0.55,1972,0.644,0.325,0,-11.056,1,0.036,0.869,0.0511,0.11,0.367,108.933,150851,4
114,The Delfonics,Hey! Love,5LVTzrOs7Ban5EpU9XkGSW,0.5,1972,0.309,0.508,4,-11.876,0,0.0351,0.483,0.000287,0.174,0.56,135.261,201973,4
115,Carole King,Bitter with the Sweet,6MBS3ARYYlI4FtYjaTinK5,0.54,1972,0.68,0.426,0,-13.683,0,0.0652,0.756,0.000148,0.11,0.661,99.078,147467,4
116,Townes Van Zandt,If I Needed You,3FMQnxcc6FcPscLeLqtW5S,0.53,1972,0.622,0.315,11,-16.641,1,0.0329,0.558,0.0303,0.0849,0.676,75.703,224200,4
117,Foghat,I Just Want to Make Love to You,48MQDFkvHlGnRQyUx6ZXVe,0.48,1972,0.375,0.599,7,-12.022,1,0.199,0.0922,0.0,0.2,0.62,126.822,261173,4
118,Van Morrison,Jackie Wilson Said (I'm in Heaven When You Smile),1hmPyDaLxfscy8AJpJsKJI,0.55,1972,0.566,0.688,7,-7.507,1,0.071,0.441,0.0,0.0553,0.95,147.274,180520,4
119,Michael Jackson,Ben - Single Version,0ZFqB9g2FujbmMSrjqsL3j,0.52,1972,0.435,0.161,5,-10.84,1,0.0298,0.911,0.000214,0.113,0.291,136.166,167387,4
120,Blue Öyster Cult,Cities On Flame with Rock and Roll,0M7oqERflkrJVHD3IAZqxo,0.52,1972,0.337,0.886,4,-8.607,1,0.098,0.0716,0.00156,0.204,0.648,177.713,242640,4
121,Sergio Mendes & Brasil '66,Mais Que Nada,6YTBfxkdGce9pLEy9jG9Jo,0.58,1972,0.637,0.493,0,-13.094,0,0.0482,0.524,1.52e-05,0.136,0.932,88.796,159467,4
122,David Bowie,Rock 'n' Roll Suicide - 2012 Remaster,1k5iH4KDKi56MFvlnrALNV,0.57,1972,0.457,0.308,0,-11.474,1,0.0398,0.309,1.64e-06,0.107,0.271,103.11,178266,3
123,Todd Rundgren,I Saw the Light,0B1zVsLqmV9ibIFdNS5tGs,0.47,1972,0.583,0.833,0,-8.29,1,0.0343,0.0531,5.57e-05,0.16,0.81,119.884,182800,4
124,Labi Siffre,My Song,2EQWbkcNoKPOXQtJM7nqRV,0.52,1972,0.416,0.319,0,-12.97,1,0.0299,0.861,0.000554,0.107,0.28,95.307,284480,4
125,The Kinks,Supersonic Rocket Ship,73TIedeyEOxFQ56TTmOExK,0.54,1972,0.612,0.42,7,-15.645,1,0.0443,0.855,0.0166,0.1,0.874,150.125,211578,4
126,Vicente Fernández,Si Acaso Vuelves,6ECHNv4bPnAiaquIPGt8es,0.56,1972,0.574,0.408,4,-5.918,1,0.0332,0.659,7.18e-06,0.292,0.495,86.448,183760,4
127,Thin Lizzy,Whiskey In The Jar,2uLx3Gka9TGCz9Zgu7Uwav,0.61,1972,0.557,0.693,7,-11.044,1,0.0445,0.531,0.00141,0.196,0.747,127.531,345187,4
128,Johnny Nash,I Can See Clearly Now,0oCT5rVvMdPPUm0bxG7yzT,0.55,1972,0.683,0.53,2,-8.542,1,0.0601,0.41,7.43e-05,0.06,0.579,124.392,162653,4
129,Marvin Gaye,Trouble Man,15pYj5ZiUJgBydzD7w6NbJ,0.53,1972,0.677,0.415,9,-9.869,0,0.0304,0.541,0.0136,0.104,0.487,107.107,228640,4
130,Mac Davis,Baby Don't Get Hooked on Me,4z51Gf7Ppt9Lmu5zmnUIz9,0.5,1972,0.495,0.307,9,-18.168,1,0.0403,0.26,5.21e-05,0.103,0.802,80.97,183933,4
131,José Alfredo Jimenez,Camino de Guanajuato,4Llj18Ki0h1YLFTCZbpSp8,0.47,1972,0.415,0.297,4,-9.618,1,0.0564,0.738,1.52e-05,0.139,0.657,183.757,193493,3
132,Dr. Hook,Sylvia's Mother,4hLk7Bjz1XJWNDiqovvgBW,0.59,1972,0.303,0.47,9,-12.715,1,0.0512,0.692,0.0,0.339,0.563,168.104,228333,4
133,Creedence Clearwater Revival,Someday Never Comes,5YgaxBGE09BdrdpEwkvpx2,0.54,1972,0.69,0.367,11,-14.697,1,0.0368,0.036,0.0,0.0774,0.324,136.945,239507,4
134,Carpenters,I Won't Last A Day Without You,42CX3VhPsCG75BFp07r9Vj,0.61,1972,0.453,0.221,2,-13.192,1,0.045,0.794,0.0,0.102,0.459,82.199,232533,4
135,Roberto Carlos,Amigo,4CKIoO64EM5M37TkshbaQE,0.47,1972,0.613,0.489,11,-13.509,0,0.0503,0.259,0.0,0.0696,0.898,145.278,208867,4
136,Harold Melvin & The Blue Notes,I Miss You (feat. Teddy Pendergrass),5y0yvFr9dAsT1ycNUYSRPl,0.48,1972,0.438,0.528,2,-9.385,1,0.0424,0.641,4.46e-05,0.582,0.571,129.893,518000,4
137,"Hank Williams, Jr.",All My Rowdy Friends Are Coming Over Tonight,1yzyhrCfdwPgfWixsCELlH,0.48,1972,0.607,0.904,2,-7.693,1,0.0435,0.13,0.0,0.134,0.877,146.831,178840,4
138,David Bowie,Soul Love - 2012 Remaster,1bo6xzrCrK7ocEirC5rrZk,0.54,1972,0.573,0.404,2,-12.142,1,0.0626,0.0579,1.52e-06,0.217,0.709,72.906,214198,4
139,Steely Dan,Fire In The Hole,4usVYcPlxRgRet6YashdCJ,0.5,1972,0.619,0.438,3,-13.139,1,0.0359,0.528,0.000869,0.0623,0.541,73.122,208093,4
